,股票代码,方向,模拟时间,实盘时间,实盘比模拟盘快的时间(毫秒),模拟报价,模拟手数,实盘报价,实盘手数
0,002510,Buy,2022-01-14 09:24:59.736,2022-01-14 09:24:59.701,-35, 4.690, 200, 4.690, 200
1,002885,Buy,2022-01-14 09:24:59.736,2022-01-14 09:24:59.703,-33, 22.220, 200, 22.260, 200
2,002885,Sell,2022-01-14 09:30:34.039,2022-01-14 09:30:58.362,24323, 22.210, 200, 22.350, 200
3,002997,Sell,2022-01-14 09:24:59.737,2022-01-14 09:24:59.703,-34, 17.660, 2400, 17.660, 2400
4,002997,Buy,2022-01-14 09:31:37.075,2022-01-14 09:30:57.199,-39876, 17.450, 2400, 17.450, 300
5,003007,Sell,2022-01-14 09:24:59.732,2022-01-14 09:24:59.700,-32, 18.280, 200, 18.280, 200
6,003007,Buy,2022-01-14 09:30:26.839,2022-01-14 09:32:00.234,93395, 18.300, 200, 18.330, 200
7,003011,Buy,2022-01-14 09:24:59.735,2022-01-14 09:24:59.702,-33, 39.280, 200, 39.280, 200
8,003011,Sell,2022-01-14 09:30:28.683,2022-01-14 09:30:55.264,26581, 39.160, 200, 39.110, 200
9,300127,Sell,2022-01-14 09:24:59.734,2022-01-14 09:24:59.702,-32, 22.890, 200, 22.890, 200
10,300127,Buy,2022-01-14 09:30:27.643,2022-01-14 09:30:27.942,299, 22.970, 100, 23.010, 200
11,300141,Buy,2022-01-14 09:24:59.736,2022-01-14 09:24:59.703,-33, 12.580, 200, 12.580, 200
12,300141,Sell,2022-01-14 09:30:33.666,2022-01-14 09:30:45.840,12174, 12.570, 200, 12.580, 200
13,300224,Buy,2022-01-14 09:24:59.736,2022-01-14 09:24:59.703,-33, 15.300, 200, 15.360, 200
14,300224,Sell,2022-01-14 09:30:22.840,2022-01-14 09:30:15.341,-7499, 15.270, 144, 15.270, 200
15,300377,Buy,2022-01-14 09:24:59.731,2022-01-14 09:24:59.701,-30, 12.220, 4000, 12.220, 4000
16,300458,Sell,2022-01-14 09:24:59.738,2022-01-14 09:24:59.703,-35, 58.210, 200, 58.210, 200
17,300458,Buy,2022-01-14 09:30:22.249,2022-01-14 09:30:28.257,6008, 58.310, 161, 58.510, 200
18,300465,Buy,2022-01-14 09:24:59.732,2022-01-14 09:24:59.701,-31, 11.960, 4600, 11.960, 4600
19,300465,Sell,2022-01-14 09:30:22.266,2022-01-14 09:30:15.804,-6462, 11.940, 2322, 11.890, 4600
20,300507,Sell,2022-01-14 09:24:59.735,2022-01-14 09:24:59.702,-33, 12.190, 200, 12.190, 200
21,300513,Sell,2022-01-14 09:24:59.733,2022-01-14 09:24:59.704,-29, 12.390, 3400, 12.390, 3400
22,300513,Buy,2022-01-14 09:30:27.123,2022-01-14 09:30:22.436,-4687, 12.420, 3400, 12.480, 3400
23,300570,Sell,2022-01-14 09:24:59.738,2022-01-14 09:24:59.704,-34, 17.620, 200, 17.620, 200
24,300585,Buy,2022-01-14 09:24:59.737,2022-01-14 09:24:59.704,-33, 17.390, 200, 17.390, 200
25,300585,Sell,2022-01-14 09:30:27.018,2022-01-14 09:30:25.077,-1941, 17.350, 200, 17.300, 200
26,300719,Buy,2022-01-14 09:24:59.732,2022-01-14 09:24:59.704,-28, 12.920, 1400, 12.920, 1400
27,300719,Sell,2022-01-14 09:30:22.651,2022-01-14 09:31:28.171,65520, 12.870, 1400, 12.910, 1400
28,300786,Sell,2022-01-14 09:24:59.734,2022-01-14 09:24:59.702,-32, 35.640, 700, 35.640, 700
29,300786,Buy,2022-01-14 09:30:33.785,2022-01-14 09:30:52.869,19084, 35.700, 700, 35.640, 700
